r_A,rdf_Nd1_O,rdf_Ne2_O,rdf_Nd1_H,rdf_Ne2_H
7.525000000000000355e+00,3.024079079740094045e-01,3.180743122916626087e-01,3.129808015282876665e-01,3.005364286404966778e-01
7.575000000000001066e+00,3.118328926290901970e-01,3.160597153280557681e-01,3.117567336615412743e-01,2.944686480279343210e-01
7.625000000000000000e+00,3.111390588806550728e-01,3.180916770583240294e-01,3.131496808941972021e-01,2.978539209033255197e-01
7.675000000000000711e+00,3.168168860013872434e-01,3.111786508214070546e-01,3.120874453076538657e-01,2.960444406014602348e-01
7.724999999999999645e+00,3.236402626276554950e-01,3.111911519484606981e-01,3.137175891157090168e-01,2.903571990765140831e-01
7.775000000000000355e+00,3.248044910068046409e-01,3.099124978736192970e-01,3.136354961569156052e-01,2.895805897730931444e-01
7.825000000000001066e+00,3.259126300368976326e-01,2.951163309323489581e-01,3.129053866723460753e-01,2.889427970446468708e-01
7.875000000000000000e+00,3.322163139176995683e-01,2.956087468203944524e-01,3.024264217321639414e-01,2.813039612174051407e-01
7.925000000000000711e+00,3.262980338175668349e-01,2.902205137121380285e-01,3.044323429918561197e-01,2.766175143281238702e-01
7.974999999999999645e+00,3.335566461319151021e-01,2.834664627906510748e-01,3.030662224588205889e-01,2.794640578803237463e-01
